question_id,configuration,run,category,labels,human_correctness_0_2,human_grounding_0_2,false_positive,false_negative,notes
single_001,pipeline,1,single_hop,,,,,,
single_001,agent_no_assertions,1,single_hop,,,,,,
single_001,agent_with_assertions,1,single_hop,,,,,,
single_001,agent_without_project_exists,1,single_hop,,,,,,
single_001,agent_without_technology_grounded,1,single_hop,,,,,,
single_001,agent_without_metrics_grounded,1,single_hop,,,,,,
single_001,agent_without_dates_grounded,1,single_hop,,,,,,
single_001,agent_without_scope_bounded,1,single_hop,,,,,,
single_002,pipeline,1,single_hop,,,,,,
single_002,agent_no_assertions,1,single_hop,,,,,,
single_002,agent_with_assertions,1,single_hop,,,,,,
single_002,agent_without_project_exists,1,single_hop,,,,,,
single_002,agent_without_technology_grounded,1,single_hop,,,,,,
single_002,agent_without_metrics_grounded,1,single_hop,,,,,,
single_002,agent_without_dates_grounded,1,single_hop,,,,,,
single_002,agent_without_scope_bounded,1,single_hop,,,,,,
