question_id,configuration,run,category,labels,human_correctness_0_2,human_grounding_0_2,false_positive,false_negative,notes
adv_001,agent_with_assertions,1,adversarial,project_assertion_failure;technology_assertion_failure;metrics_assertion_failure;scope_assertion_failure,,,,,
adv_001,agent_without_project_exists,1,adversarial,technology_assertion_failure;metrics_assertion_failure;scope_assertion_failure,,,,,
adv_001,agent_without_technology_grounded,1,adversarial,project_assertion_failure;metrics_assertion_failure;scope_assertion_failure,,,,,
adv_001,agent_without_metrics_grounded,1,adversarial,project_assertion_failure;technology_assertion_failure;scope_assertion_failure,,,,,
adv_001,agent_without_dates_grounded,1,adversarial,project_assertion_failure;technology_assertion_failure;metrics_assertion_failure;scope_assertion_failure,,,,,
adv_001,agent_without_scope_bounded,1,adversarial,project_assertion_failure;technology_assertion_failure;metrics_assertion_failure,,,,,
adv_002,agent_with_assertions,1,adversarial,technology_assertion_failure;metrics_assertion_failure;scope_assertion_failure,,,,,
adv_002,agent_without_project_exists,1,adversarial,technology_assertion_failure;metrics_assertion_failure;scope_assertion_failure,,,,,
adv_002,agent_without_technology_grounded,1,adversarial,metrics_assertion_failure;scope_assertion_failure,,,,,
adv_002,agent_without_metrics_grounded,1,adversarial,technology_assertion_failure;scope_assertion_failure,,,,,
adv_002,agent_without_dates_grounded,1,adversarial,technology_assertion_failure;metrics_assertion_failure;scope_assertion_failure,,,,,
adv_002,agent_without_scope_bounded,1,adversarial,technology_assertion_failure;metrics_assertion_failure,,,,,
adv_003,agent_with_assertions,1,adversarial,technology_assertion_failure;metrics_assertion_failure;scope_assertion_failure,,,,,
adv_003,agent_without_project_exists,1,adversarial,technology_assertion_failure;metrics_assertion_failure;scope_assertion_failure,,,,,
adv_003,agent_without_technology_grounded,1,adversarial,metrics_assertion_failure;scope_assertion_failure,,,,,
adv_003,agent_without_metrics_grounded,1,adversarial,technology_assertion_failure;scope_assertion_failure,,,,,
adv_003,agent_without_dates_grounded,1,adversarial,technology_assertion_failure;metrics_assertion_failure;scope_assertion_failure,,,,,
adv_003,agent_without_scope_bounded,1,adversarial,technology_assertion_failure;metrics_assertion_failure,,,,,
adv_004,agent_with_assertions,1,adversarial,technology_assertion_failure;metrics_assertion_failure;date_assertion_failure;scope_assertion_failure,,,,,
adv_004,agent_without_project_exists,1,adversarial,technology_assertion_failure;metrics_assertion_failure;date_assertion_failure;scope_assertion_failure,,,,,
adv_004,agent_without_technology_grounded,1,adversarial,metrics_assertion_failure;date_assertion_failure;scope_assertion_failure,,,,,
adv_004,agent_without_metrics_grounded,1,adversarial,technology_assertion_failure;date_assertion_failure;scope_assertion_failure,,,,,
adv_004,agent_without_dates_grounded,1,adversarial,technology_assertion_failure;metrics_assertion_failure;scope_assertion_failure,,,,,
adv_004,agent_without_scope_bounded,1,adversarial,technology_assertion_failure;metrics_assertion_failure;date_assertion_failure,,,,,
adv_005,agent_with_assertions,1,adversarial,project_assertion_failure;technology_assertion_failure;metrics_assertion_failure;scope_assertion_failure,,,,,
adv_005,agent_without_project_exists,1,adversarial,technology_assertion_failure;metrics_assertion_failure;scope_assertion_failure,,,,,
adv_005,agent_without_technology_grounded,1,adversarial,project_assertion_failure;metrics_assertion_failure;scope_assertion_failure,,,,,
adv_005,agent_without_metrics_grounded,1,adversarial,project_assertion_failure;technology_assertion_failure;scope_assertion_failure,,,,,
adv_005,agent_without_dates_grounded,1,adversarial,project_assertion_failure;technology_assertion_failure;metrics_assertion_failure;scope_assertion_failure,,,,,
adv_005,agent_without_scope_bounded,1,adversarial,project_assertion_failure;technology_assertion_failure;metrics_assertion_failure,,,,,
